Unnamed: 0,question,query,schema
64455,What are the top 3 flights by departure date?,SELECT * FROM flight ORDER BY departure_date DESC LIMIT 3,"
CREATE TABLE airport (
	airport_id INTEGER, 
	airport_name TEXT, 
	total_passengers REAL, 
	__change_2007 TEXT, 
	international_passengers REAL, 
	domestic_passengers REAL, 
	transit_passengers REAL, 
	aircraft_movements REAL, 
	freight_metric_tonnes REAL
)


CREATE TABLE flight (
	flno INTEGER, 
	origin TEXT, 
	destination TEXT, 
	distance INTEGER, 
	departure_date TIMESTAMP WITHOUT TIME ZONE, 
	arrival_date TIMESTAMP WITHOUT TIME ZONE, 
	price INTEGER, 
	aid INTEGER
)


CREATE TABLE operate_company (
	id INTEGER, 
	name TEXT, 
	type TEXT, 
	principal_activities TEXT, 
	incorporated_in TEXT, 
	group_equity_shareholding REAL
)"
64456,Which stadium has the highest average attendance?,"SELECT s.name, AVG(s.capacity) AS average FROM stadium s GROUP BY s.name ORDER BY average DESC LIMIT 1;","
CREATE TABLE game (
	stadium_id INTEGER, 
	id INTEGER, 
	season INTEGER, 
	date TEXT, 
	home_team TEXT, 
	away_team TEXT, 
	score TEXT, 
	competition TEXT
)


CREATE TABLE injury_accident (
	game_id INTEGER, 
	id INTEGER, 
	player TEXT, 
	injury TEXT, 
	number_of_matches TEXT, 
	source TEXT
)


CREATE TABLE stadium (
	stadium_id INTEGER, 
	location TEXT, 
	name TEXT, 
	capacity INTEGER, 
	highest INTEGER, 
	lowest INTEGER, 
	average INTEGER
)"
64457,Which injury has affected the most players?,"SELECT i.injury, COUNT(*) AS num_affected_players FROM injury_accident i GROUP BY i.injury ORDER BY num_affected_players DESC LIMIT 1;","
CREATE TABLE game (
	stadium_id INTEGER, 
	id INTEGER, 
	season INTEGER, 
	date TEXT, 
	home_team TEXT, 
	away_team TEXT, 
	score TEXT, 
	competition TEXT
)


CREATE TABLE injury_accident (
	game_id INTEGER, 
	id INTEGER, 
	player TEXT, 
	injury TEXT, 
	number_of_matches TEXT, 
	source TEXT
)


CREATE TABLE stadium (
	stadium_id INTEGER, 
	location TEXT, 
	name TEXT, 
	capacity INTEGER, 
	highest INTEGER, 
	lowest INTEGER, 
	average INTEGER
)"
64458,Which injury has the longest recovery time?,"SELECT i.injury, MAX(CAST(i.number_of_matches AS integer)) AS longest_recovery_time FROM injury_accident i GROUP BY i.injury ORDER BY longest_recovery_time DESC LIMIT 1;","
CREATE TABLE game (
	stadium_id INTEGER, 
	id INTEGER, 
	season INTEGER, 
	date TEXT, 
	home_team TEXT, 
	away_team TEXT, 
	score TEXT, 
	competition TEXT
)


CREATE TABLE injury_accident (
	game_id INTEGER, 
	id INTEGER, 
	player TEXT, 
	injury TEXT, 
	number_of_matches TEXT, 
	source TEXT
)


CREATE TABLE stadium (
	stadium_id INTEGER, 
	location TEXT, 
	name TEXT, 
	capacity INTEGER, 
	highest INTEGER, 
	lowest INTEGER, 
	average INTEGER
)"
64459,Which injury has the most frequent occurrence?,"SELECT i.injury, COUNT(*) AS num_occurrences FROM injury_accident i GROUP BY i.injury ORDER BY num_occurrences DESC LIMIT 1;","
CREATE TABLE game (
	stadium_id INTEGER, 
	id INTEGER, 
	season INTEGER, 
	date TEXT, 
	home_team TEXT, 
	away_team TEXT, 
	score TEXT, 
	competition TEXT
)


CREATE TABLE injury_accident (
	game_id INTEGER, 
	id INTEGER, 
	player TEXT, 
	injury TEXT, 
	number_of_matches TEXT, 
	source TEXT
)


CREATE TABLE stadium (
	stadium_id INTEGER, 
	location TEXT, 
	name TEXT, 
	capacity INTEGER, 
	highest INTEGER, 
	lowest INTEGER, 
	average INTEGER
)"
64460,How many gas stations are there?,SELECT COUNT(*) FROM gas_station,"
CREATE TABLE company (
	company_id REAL, 
	name TEXT, 
	headquarters TEXT, 
	industry TEXT, 
	sales_in_billion REAL, 
	profits_in_billion REAL, 
	assets_in_billion REAL, 
	market_value_in_billion REAL
)


CREATE TABLE gas_station (
	station_id INTEGER, 
	open_year INTEGER, 
	location TEXT, 
	manager_name TEXT, 
	vice_manager_name TEXT, 
	representative_name TEXT
)


CREATE TABLE station_company (
	station_id INTEGER, 
	company_id INTEGER, 
	rank_of_the_year INTEGER
)"
64461,What companies operate in the automotive industry?,SELECT name FROM company WHERE industry LIKE '%automotive%',"
CREATE TABLE company (
	company_id REAL, 
	name TEXT, 
	headquarters TEXT, 
	industry TEXT, 
	sales_in_billion REAL, 
	profits_in_billion REAL, 
	assets_in_billion REAL, 
	market_value_in_billion REAL
)


CREATE TABLE gas_station (
	station_id INTEGER, 
	open_year INTEGER, 
	location TEXT, 
	manager_name TEXT, 
	vice_manager_name TEXT, 
	representative_name TEXT
)


CREATE TABLE station_company (
	station_id INTEGER, 
	company_id INTEGER, 
	rank_of_the_year INTEGER
)"
64463,In what year did most gas stations open?,SELECT AVG(open_year) FROM gas_station,"
CREATE TABLE company (
	company_id REAL, 
	name TEXT, 
	headquarters TEXT, 
	industry TEXT, 
	sales_in_billion REAL, 
	profits_in_billion REAL, 
	assets_in_billion REAL, 
	market_value_in_billion REAL
)


CREATE TABLE gas_station (
	station_id INTEGER, 
	open_year INTEGER, 
	location TEXT, 
	manager_name TEXT, 
	vice_manager_name TEXT, 
	representative_name TEXT
)


CREATE TABLE station_company (
	station_id INTEGER, 
	company_id INTEGER, 
	rank_of_the_year INTEGER
)"
64464,What is the total assets in billion for each company?,"SELECT name, SUM(assets_in_billion) as total_assets FROM company GROUP BY name","
CREATE TABLE company (
	company_id REAL, 
	name TEXT, 
	headquarters TEXT, 
	industry TEXT, 
	sales_in_billion REAL, 
	profits_in_billion REAL, 
	assets_in_billion REAL, 
	market_value_in_billion REAL
)


CREATE TABLE gas_station (
	station_id INTEGER, 
	open_year INTEGER, 
	location TEXT, 
	manager_name TEXT, 
	vice_manager_name TEXT, 
	representative_name TEXT
)


CREATE TABLE station_company (
	station_id INTEGER, 
	company_id INTEGER, 
	rank_of_the_year INTEGER
)"
64465,How many gas stations are operated by each company?,"SELECT c.name, COUNT(gs.station_id) as num_stations FROM gas_station gs JOIN company c ON gs.station_id = c.company_id GROUP BY gs.station_id, c.name","
CREATE TABLE company (
	company_id REAL, 
	name TEXT, 
	headquarters TEXT, 
	industry TEXT, 
	sales_in_billion REAL, 
	profits_in_billion REAL, 
	assets_in_billion REAL, 
	market_value_in_billion REAL
)


CREATE TABLE gas_station (
	station_id INTEGER, 
	open_year INTEGER, 
	location TEXT, 
	manager_name TEXT, 
	vice_manager_name TEXT, 
	representative_name TEXT
)


CREATE TABLE station_company (
	station_id INTEGER, 
	company_id INTEGER, 
	rank_of_the_year INTEGER
)"
