Unnamed: 0,question,query,schema
63337,What is the average age of members in each region?,"SELECT region_name, AVG(age) AS avg_age FROM member JOIN region ON member.address = region.label GROUP BY region_name","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63338,What are the top 2 most recent events organized by the party?,"SELECT event_name, COUNT(*) AS frequency FROM party_events GROUP BY event_name ORDER BY frequency DESC LIMIT 2","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63341,What are the top 4 most frequent regions with the most members?,"SELECT region_name, COUNT(*) AS member_count FROM member JOIN region ON member.address = region.label GROUP BY region_name ORDER BY member_count DESC LIMIT 4","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63342,What is the total number of party officials in each position?,"SELECT governor, COUNT(*) AS official_count FROM party GROUP BY governor","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63343,What are the top 2 most frequent party officials in each position?,"SELECT governor, COUNT(*) AS official_count FROM party GROUP BY governor ORDER BY official_count DESC LIMIT 2","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63344,How many members are there in the top 2 most recent regions?,"SELECT region_name, COUNT(*) AS member_count FROM member JOIN region ON member.address = region.label GROUP BY region_name ORDER BY member_count DESC LIMIT 2","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63346,What are the top 4 most frequent levels of membership purchases?,"SELECT level_of_membership, COUNT(*) AS frequency FROM member GROUP BY level_of_membership ORDER BY frequency DESC LIMIT 4","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63347,What is the average level of membership purchased by each member in each top 2 most recent region?,"SELECT region_name, AVG(level_of_membership) AS avg_level FROM member JOIN region ON member.address = region.label GROUP BY region_name","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63348,What is the total number of party officials in each top 2 most recent year?,"SELECT year, COUNT(*) AS official_count FROM party GROUP BY year ORDER BY year DESC LIMIT 2","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
63353,What is the total number of party officials in each top 2 most recent year and position?,"SELECT year, governor, COUNT(*) AS official_count FROM party GROUP BY year, governor","
CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE party (
	party_id INTEGER, 
	year REAL, 
	party TEXT, 
	governor TEXT, 
	lieutenant_governor TEXT, 
	comptroller TEXT, 
	attorney_general TEXT, 
	us_senate TEXT
)


CREATE TABLE party_events (
	event_id INTEGER, 
	event_name TEXT, 
	party_id INTEGER, 
	member_in_charge_id INTEGER
)


CREATE TABLE region (
	region_id INTEGER, 
	region_name TEXT, 
	date TEXT, 
	label TEXT, 
	format TEXT, 
	catalogue TEXT
)"
