Unnamed: 0,question,query,schema
66708,What is the average revenue generated by each happy hour member?,SELECT AVG(total_amount) as avg_revenue FROM happy_hour_member;,"
CREATE TABLE happy_hour (
	hh_id INTEGER, 
	shop_id INTEGER, 
	month TEXT, 
	num_of_shaff_in_charge INTEGER
)


CREATE TABLE happy_hour_member (
	hh_id INTEGER, 
	member_id INTEGER, 
	total_amount REAL
)


CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE shop (
	shop_id INTEGER, 
	address TEXT, 
	num_of_staff TEXT, 
	score REAL, 
	open_year TEXT
)"
66709,What are the members with the most expensive memberships?,"SELECT name, level_of_membership FROM member ORDER BY level_of_membership DESC LIMIT 5;","
CREATE TABLE happy_hour (
	hh_id INTEGER, 
	shop_id INTEGER, 
	month TEXT, 
	num_of_shaff_in_charge INTEGER
)


CREATE TABLE happy_hour_member (
	hh_id INTEGER, 
	member_id INTEGER, 
	total_amount REAL
)


CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE shop (
	shop_id INTEGER, 
	address TEXT, 
	num_of_staff TEXT, 
	score REAL, 
	open_year TEXT
)"
66710,What is the average number of happy hour members per shop?,"SELECT AVG(num_members) as avg_num_members FROM (SELECT shop_id, COUNT(*) as num_members FROM happy_hour GROUP BY shop_id) as subquery;","
CREATE TABLE happy_hour (
	hh_id INTEGER, 
	shop_id INTEGER, 
	month TEXT, 
	num_of_shaff_in_charge INTEGER
)


CREATE TABLE happy_hour_member (
	hh_id INTEGER, 
	member_id INTEGER, 
	total_amount REAL
)


CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE shop (
	shop_id INTEGER, 
	address TEXT, 
	num_of_staff TEXT, 
	score REAL, 
	open_year TEXT
)"
66711,What are the shops with the highest average score?,"SELECT address, AVG(score) as avg_score FROM shop GROUP BY address ORDER BY avg_score DESC;","
CREATE TABLE happy_hour (
	hh_id INTEGER, 
	shop_id INTEGER, 
	month TEXT, 
	num_of_shaff_in_charge INTEGER
)


CREATE TABLE happy_hour_member (
	hh_id INTEGER, 
	member_id INTEGER, 
	total_amount REAL
)


CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE shop (
	shop_id INTEGER, 
	address TEXT, 
	num_of_staff TEXT, 
	score REAL, 
	open_year TEXT
)"
66712,What is the average number of shaff in charge per shop?,SELECT AVG(num_of_shaff_in_charge) as avg_num_shaff_per_shop FROM happy_hour WHERE shop_id IN (SELECT shop_id FROM happy_hour GROUP BY shop_id ORDER BY COUNT(*) DESC LIMIT 5);,"
CREATE TABLE happy_hour (
	hh_id INTEGER, 
	shop_id INTEGER, 
	month TEXT, 
	num_of_shaff_in_charge INTEGER
)


CREATE TABLE happy_hour_member (
	hh_id INTEGER, 
	member_id INTEGER, 
	total_amount REAL
)


CREATE TABLE member (
	member_id INTEGER, 
	name TEXT, 
	membership_card TEXT, 
	age INTEGER, 
	time_of_purchase INTEGER, 
	level_of_membership INTEGER, 
	address TEXT
)


CREATE TABLE shop (
	shop_id INTEGER, 
	address TEXT, 
	num_of_staff TEXT, 
	score REAL, 
	open_year TEXT
)"
66713,What are the courses offered by Electronics department?,SELECT crs_code FROM course WHERE dept_code = 'ECE',"
CREATE TABLE advisor (
	s_id TEXT, 
	i_id TEXT
)


CREATE TABLE classroom (
	building TEXT, 
	room_number TEXT, 
	capacity INTEGER
)


CREATE TABLE course (
	crs_code TEXT, 
	dept_code TEXT, 
	crs_description TEXT, 
	crs_credit DOUBLE PRECISION
)


CREATE TABLE department (
	dept_code TEXT, 
	dept_name TEXT, 
	school_code TEXT, 
	emp_num INTEGER, 
	dept_address TEXT, 
	dept_extension TEXT
)


CREATE TABLE instructor (
	id TEXT, 
	name TEXT, 
	dept_name TEXT, 
	salary INTEGER
)


CREATE TABLE prereq (
	course_id TEXT, 
	prereq_id TEXT
)


CREATE TABLE section (
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	building TEXT, 
	room_number TEXT, 
	time_slot_id TEXT
)


CREATE TABLE student (
	stuid INTEGER, 
	lname TEXT, 
	fname TEXT, 
	age INTEGER, 
	sex TEXT, 
	major INTEGER, 
	advisor INTEGER, 
	city_code TEXT
)


CREATE TABLE takes (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	grade TEXT
)


CREATE TABLE teaches (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER
)


CREATE TABLE time_slot (
	time_slot_id TEXT, 
	day TEXT, 
	start_hr INTEGER, 
	start_min INTEGER, 
	end_hr INTEGER, 
	end_min INTEGER
)"
66714,Which courses have no prerequisites?,SELECT DISTINCT course_id FROM prereq WHERE prereq_id IS NULL,"
CREATE TABLE advisor (
	s_id TEXT, 
	i_id TEXT
)


CREATE TABLE classroom (
	building TEXT, 
	room_number TEXT, 
	capacity INTEGER
)


CREATE TABLE course (
	crs_code TEXT, 
	dept_code TEXT, 
	crs_description TEXT, 
	crs_credit DOUBLE PRECISION
)


CREATE TABLE department (
	dept_code TEXT, 
	dept_name TEXT, 
	school_code TEXT, 
	emp_num INTEGER, 
	dept_address TEXT, 
	dept_extension TEXT
)


CREATE TABLE instructor (
	id TEXT, 
	name TEXT, 
	dept_name TEXT, 
	salary INTEGER
)


CREATE TABLE prereq (
	course_id TEXT, 
	prereq_id TEXT
)


CREATE TABLE section (
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	building TEXT, 
	room_number TEXT, 
	time_slot_id TEXT
)


CREATE TABLE student (
	stuid INTEGER, 
	lname TEXT, 
	fname TEXT, 
	age INTEGER, 
	sex TEXT, 
	major INTEGER, 
	advisor INTEGER, 
	city_code TEXT
)


CREATE TABLE takes (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	grade TEXT
)


CREATE TABLE teaches (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER
)


CREATE TABLE time_slot (
	time_slot_id TEXT, 
	day TEXT, 
	start_hr INTEGER, 
	start_min INTEGER, 
	end_hr INTEGER, 
	end_min INTEGER
)"
66715,List the instructors teaching CS courses,SELECT name FROM instructor JOIN teaches ON instructor.id = teaches.id WHERE course_id LIKE 'CS%',"
CREATE TABLE advisor (
	s_id TEXT, 
	i_id TEXT
)


CREATE TABLE classroom (
	building TEXT, 
	room_number TEXT, 
	capacity INTEGER
)


CREATE TABLE course (
	crs_code TEXT, 
	dept_code TEXT, 
	crs_description TEXT, 
	crs_credit DOUBLE PRECISION
)


CREATE TABLE department (
	dept_code TEXT, 
	dept_name TEXT, 
	school_code TEXT, 
	emp_num INTEGER, 
	dept_address TEXT, 
	dept_extension TEXT
)


CREATE TABLE instructor (
	id TEXT, 
	name TEXT, 
	dept_name TEXT, 
	salary INTEGER
)


CREATE TABLE prereq (
	course_id TEXT, 
	prereq_id TEXT
)


CREATE TABLE section (
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	building TEXT, 
	room_number TEXT, 
	time_slot_id TEXT
)


CREATE TABLE student (
	stuid INTEGER, 
	lname TEXT, 
	fname TEXT, 
	age INTEGER, 
	sex TEXT, 
	major INTEGER, 
	advisor INTEGER, 
	city_code TEXT
)


CREATE TABLE takes (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	grade TEXT
)


CREATE TABLE teaches (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER
)


CREATE TABLE time_slot (
	time_slot_id TEXT, 
	day TEXT, 
	start_hr INTEGER, 
	start_min INTEGER, 
	end_hr INTEGER, 
	end_min INTEGER
)"
66716,What is the capacity of the room 101 in building A?,SELECT capacity FROM classroom WHERE building = 'A' AND room_number = '101',"
CREATE TABLE advisor (
	s_id TEXT, 
	i_id TEXT
)


CREATE TABLE classroom (
	building TEXT, 
	room_number TEXT, 
	capacity INTEGER
)


CREATE TABLE course (
	crs_code TEXT, 
	dept_code TEXT, 
	crs_description TEXT, 
	crs_credit DOUBLE PRECISION
)


CREATE TABLE department (
	dept_code TEXT, 
	dept_name TEXT, 
	school_code TEXT, 
	emp_num INTEGER, 
	dept_address TEXT, 
	dept_extension TEXT
)


CREATE TABLE instructor (
	id TEXT, 
	name TEXT, 
	dept_name TEXT, 
	salary INTEGER
)


CREATE TABLE prereq (
	course_id TEXT, 
	prereq_id TEXT
)


CREATE TABLE section (
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	building TEXT, 
	room_number TEXT, 
	time_slot_id TEXT
)


CREATE TABLE student (
	stuid INTEGER, 
	lname TEXT, 
	fname TEXT, 
	age INTEGER, 
	sex TEXT, 
	major INTEGER, 
	advisor INTEGER, 
	city_code TEXT
)


CREATE TABLE takes (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	grade TEXT
)


CREATE TABLE teaches (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER
)


CREATE TABLE time_slot (
	time_slot_id TEXT, 
	day TEXT, 
	start_hr INTEGER, 
	start_min INTEGER, 
	end_hr INTEGER, 
	end_min INTEGER
)"
66717,What are the courses taught by Dr. John?,SELECT DISTINCT course_id FROM teaches WHERE id IN (SELECT id FROM instructor WHERE name = 'John'),"
CREATE TABLE advisor (
	s_id TEXT, 
	i_id TEXT
)


CREATE TABLE classroom (
	building TEXT, 
	room_number TEXT, 
	capacity INTEGER
)


CREATE TABLE course (
	crs_code TEXT, 
	dept_code TEXT, 
	crs_description TEXT, 
	crs_credit DOUBLE PRECISION
)


CREATE TABLE department (
	dept_code TEXT, 
	dept_name TEXT, 
	school_code TEXT, 
	emp_num INTEGER, 
	dept_address TEXT, 
	dept_extension TEXT
)


CREATE TABLE instructor (
	id TEXT, 
	name TEXT, 
	dept_name TEXT, 
	salary INTEGER
)


CREATE TABLE prereq (
	course_id TEXT, 
	prereq_id TEXT
)


CREATE TABLE section (
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	building TEXT, 
	room_number TEXT, 
	time_slot_id TEXT
)


CREATE TABLE student (
	stuid INTEGER, 
	lname TEXT, 
	fname TEXT, 
	age INTEGER, 
	sex TEXT, 
	major INTEGER, 
	advisor INTEGER, 
	city_code TEXT
)


CREATE TABLE takes (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER, 
	grade TEXT
)


CREATE TABLE teaches (
	id TEXT, 
	course_id TEXT, 
	sec_id TEXT, 
	semester TEXT, 
	year INTEGER
)


CREATE TABLE time_slot (
	time_slot_id TEXT, 
	day TEXT, 
	start_hr INTEGER, 
	start_min INTEGER, 
	end_hr INTEGER, 
	end_min INTEGER
)"
